node_id,node_order,node_name,node_goal,node_stage,node_substage,skills_in_node,skill_count,current_node_input_docs,current_node_output_docs,next_node_ids,next_node_names,next_node_input_docs
N010,10,需求输入归档,汇总多来源需求并形成统一编号的原始需求输入包,需求与产品定义,需求收集,需求收集归并,1,原始需求列表; 会议纪要; 客诉/反馈记录; 原型链接/截图,原始需求池.csv; 需求来源索引.md,N020,需求去重聚类,原始需求池.csv; 需求来源索引.md
N020,20,需求去重聚类,识别重复需求、归并相似诉求并输出主题分组,需求与产品定义,需求收集,需求去重与聚类,1,原始需求池.csv; 需求来源索引.md,需求去重结果.csv; 需求主题聚类表.csv,N030,需求背景补全,需求去重结果.csv; 需求主题聚类表.csv
N030,30,需求背景补全,补齐业务背景、目标、角色、场景、范围边界和待确认问题,需求与产品定义,需求分析,需求背景补全,1,需求去重结果.csv; 需求主题聚类表.csv; PRD/草案.md,需求背景卡.md; 待确认问题清单.csv,N040;N050;N060;N070,用户问题洞察;竞品研究;需求规划评估;需求结构化建模,需求背景卡.md; 待确认问题清单.csv
N040,40,用户问题洞察,提炼用户痛点、用户旅程断点和影响范围,需求与产品定义,用户研究,用户旅程分析; 用户痛点分析,2,需求背景卡.md; 用户反馈摘录.md,用户痛点卡.md; 用户旅程断点表.csv,N060;N090,需求规划评估;PRD产出与评审,用户痛点卡.md; 用户旅程断点表.csv
N050,50,竞品研究,形成竞品能力扫描与功能对标结果，为后续规划提供外部参照,需求与产品定义,市场研究,竞品分析; 竞品功能对标,2,需求背景卡.md; 竞品资料.md/链接,竞品能力扫描表.csv; 竞品功能对标表.csv,N060,需求规划评估,竞品能力扫描表.csv; 竞品功能对标表.csv
N060,60,需求规划评估,综合价值、成本、风险与优先级，形成需求规划建议,需求与产品定义,需求规划,需求价值评估; 需求优先级评估; 需求成本预估; 需求风险预判,4,需求背景卡.md; 用户痛点卡.md; 竞品能力扫描表.csv,需求价值评估表.csv; 需求成本预估表.csv; 需求风险预判表.csv; 需求优先级建议.csv,N070;N090;N360,需求结构化建模;PRD产出与评审;跨团队对齐与版本节奏,需求优先级建议.csv; 需求价值评估表.csv; 需求风险预判表.csv
N070,70,需求结构化建模,将需求拆成功能、规则、状态、权限和数据对象等可交付结构,需求与产品定义,需求结构化,业务规则抽取; 数据对象识别; 权限矩阵提取; 状态流转梳理; 需求拆解,5,需求背景卡.md; 需求优先级建议.csv; PRD/草案.md,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 数据对象清单.csv,N080;N090;N100;N230;N260,原型解析;PRD产出与评审;需求质量门禁;测试设计;质量门禁与专项测试,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 数据对象清单.csv
N080,80,原型解析,从页面原型中提取功能点、动作、字段与后端需求,需求与产品定义,原型理解,原型转功能点; 原型转后端需求; 表单字段提取; 页面动作提取,4,原型链接/截图; 需求背景卡.md; 需求结构树.md,原型功能点表.csv; 页面动作表.csv; 表单字段清单.csv; 原型后端需求清单.csv,N090;N100,PRD产出与评审;需求质量门禁,原型功能点表.csv; 页面动作表.csv; 表单字段清单.csv; 原型后端需求清单.csv
N090,90,PRD产出与评审,生成结构化PRD、补全缺项并产出评审问题,需求与产品定义,文档产出,PRD生成; PRD补全; PRD评审问题生成,3,需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv; 原型功能点表.csv,PRD.md; PRD补全建议.md; PRD评审问题清单.csv,N100;N110,需求质量门禁;需求交接与验收,PRD.md; PRD补全建议.md; PRD评审问题清单.csv
N100,100,需求质量门禁,检查需求完整性、可执行性、一致性、漏洞和未决项，并给出放行结论,需求质量保障,质量审查,待确认项提取; 需求可执行性检查; 需求完整性检查; 需求漏洞扫描; 需求矛盾检测; 需求质量审查,6,PRD.md; 需求结构树.md; 业务规则清单.csv; 状态流转表.csv; 权限矩阵.csv,完整性检查单.csv; 可执行性检查单.csv; 需求矛盾问题单.csv; 需求漏洞清单.csv; 待确认项清单.csv; 需求质量审查单.md,N110;N370,需求交接与验收;平台路由与多技能编排,需求质量审查单.md; 待确认项清单.csv
N110,110,需求交接与验收,产出研发/测试可消费的交接包、验收标准及变更同步信息,协同交接,交接与变更,研发反馈回传; 需求交接包生成; 需求变更同步; 需求变更影响分析; 验收标准生成,5,PRD.md; 需求质量审查单.md; 需求结构树.md; 业务规则清单.csv,需求交接包.zip; 验收标准.md; 需求变更影响分析.md; 需求变更同步通知.md; 研发反馈回传单.md,N120;N230;N350;N360,技术需求理解;测试设计;协同任务与风险管理;跨团队对齐与版本节奏,需求交接包.zip; 验收标准.md; 需求变更影响分析.md; 研发反馈回传单.md
N120,120,技术需求理解,将产品需求翻译成研发问题空间并抽取接口意图,技术方案设计,研发理解,开发需求解析; 接口意图抽取,2,需求交接包.zip; 需求质量审查单.md; 验收标准.md,开发需求解析.md; 接口意图清单.csv,N130;N150;N160,技术方案分析与评审;API设计与校验;数据模型设计,开发需求解析.md; 接口意图清单.csv
N130,130,技术方案分析与评审,产出技术方案分析、初稿和评审问题,技术方案设计,方案输出,技术方案分析; 技术方案初稿生成; 方案评审问题生成,3,开发需求解析.md; 接口意图清单.csv; 需求漏洞清单.csv,技术方案分析.md; 技术方案初稿.md; 方案评审问题清单.csv,N140;N150;N160;N170;N180;N330,架构与边界设计;API设计与校验;数据模型设计;高级与非功能设计;研发任务规划;技术与运维文档输出,技术方案分析.md; 技术方案初稿.md; 方案评审问题清单.csv
N140,140,架构与边界设计,识别模块边界并给出服务拆分建议,技术方案设计,架构拆分,服务拆分建议; 模块边界识别,2,技术方案分析.md,模块边界图.md; 服务拆分建议.md,N180,研发任务规划,模块边界图.md; 服务拆分建议.md
N150,150,API设计与校验,形成接口契约、规范检查结果和错误码设计,技术方案设计,API设计,API规范检查; API错误码设计; 接口设计建议,3,开发需求解析.md; 接口意图清单.csv; 技术方案分析.md,接口设计草案.yaml; API规范检查单.csv; 错误码清单.csv,N190;N200;N240;N330,代码骨架生成;实现辅助代码生成;回归与自动化编排;技术与运维文档输出,接口设计草案.yaml; API规范检查单.csv; 错误码清单.csv
N160,160,数据模型设计,形成表结构、索引与数据流设计,技术方案设计,数据设计,数据流梳理; 索引设计建议; 表结构设计建议,3,开发需求解析.md; 技术方案分析.md; 数据对象清单.csv,表结构设计草案.sql; 索引建议清单.csv; 数据流图.md,N170;N190;N200;N260;N330,高级与非功能设计;代码骨架生成;实现辅助代码生成;质量门禁与专项测试;技术与运维文档输出,表结构设计草案.sql; 索引建议清单.csv; 数据流图.md
N170,170,高级与非功能设计,补齐并发、幂等、审计、权限、性能和安全设计,技术方案设计,高级设计,安全风险分析; 审计留痕设计; 幂等设计建议; 并发控制建议; 性能风险分析; 权限模型设计,6,技术方案分析.md; 需求漏洞清单.csv; 表结构设计草案.sql; 权限矩阵.csv,并发控制建议.md; 幂等设计建议.md; 审计留痕方案.md; 权限模型设计.md; 性能风险分析.md; 安全风险分析.md,N180;N210;N260;N390,研发任务规划;代码质量静态检查;质量门禁与专项测试;平台治理与模板质量,并发控制建议.md; 幂等设计建议.md; 权限模型设计.md; 性能风险分析.md; 安全风险分析.md
N180,180,研发任务规划,将方案转成开发任务、工时和依赖关系,技术方案设计,任务管理,依赖识别; 工时估算辅助; 开发任务拆分,3,技术方案分析.md; 模块边界图.md; 服务拆分建议.md; 数据流图.md,开发任务拆分表.csv; 工时估算表.csv; 研发依赖清单.csv,N190;N220;N240;N270;N330;N350,代码骨架生成;Code Review与提交协同;回归与自动化编排;发布准备与策略;技术与运维文档输出;协同任务与风险管理,开发任务拆分表.csv; 工时估算表.csv; 研发依赖清单.csv
N190,190,代码骨架生成,生成工程骨架及控制器、服务、仓储层基础代码草稿,编码与实现,脚手架生成,Controller草稿生成; Repository草稿生成; Service草稿生成; 代码骨架生成,4,技术方案分析.md; 接口设计草案.yaml; 表结构设计草案.sql,工程骨架.zip; Controller草稿.java; Service草稿.java; Repository草稿.java,N200;N210,实现辅助代码生成;代码质量静态检查,工程骨架.zip; Controller草稿.java; Service草稿.java; Repository草稿.java
N200,200,实现辅助代码生成,生成DTO/VO、枚举、校验器、异常类与SQL草稿，并给出查询优化建议,编码与实现,代码生成,DTO/VO生成; SQL草稿生成; 异常类生成; 枚举定义生成; 查询优化建议; 校验器代码生成,6,接口设计草案.yaml; 业务规则清单.csv; 错误码清单.csv; 表结构设计草案.sql,DTO_VO草稿.zip; 枚举定义.java; 校验器代码.java; 异常类.java; SQL草稿.sql; 查询优化建议.md,N210;N330,代码质量静态检查;技术与运维文档输出,DTO_VO草稿.zip; 枚举定义.java; 校验器代码.java; 异常类.java; SQL草稿.sql
N210,210,代码质量静态检查,检查规范、命名、重复、异常、事务和线程安全风险,编码与实现,代码质量,事务边界检查; 代码规范检查; 低质量代码识别; 命名优化建议; 空指针/异常风险识别; 线程安全风险检查; 重复代码检测; 重构建议,8,工程骨架.zip; Service草稿.java; 并发控制建议.md; 技术方案分析.md,代码规范检查单.csv; 重构建议.md; 命名优化建议.md; 低质量代码清单.csv; 重复代码清单.csv; 风险检查清单.csv,N220;N250;N260;N370;N390,Code Review与提交协同;测试结果与缺陷管理;质量门禁与专项测试;平台路由与多技能编排;平台治理与模板质量,代码规范检查单.csv; 风险检查清单.csv
N220,220,Code Review与提交协同,输出审查意见、差异风险点评、PR描述和提交信息,编码与实现,Code Review,Code Review评论生成; Diff风险点评审; PR描述生成; 提交信息生成,4,代码规范检查单.csv; 开发任务拆分表.csv; git diff/改动列表,CodeReview评论.md; Diff风险点评.md; PR描述.md; 提交信息.txt,N240;N270;N300,回归与自动化编排;发布准备与策略;运行监控与日志定位,Diff风险点评.md; PR描述.md; 提交信息.txt
N230,230,测试设计,从验收标准和需求结构生成测试点、用例、边界和异常场景,测试与质量保障,测试设计,异常场景生成; 测试点生成; 测试用例生成; 边界条件生成,4,验收标准.md; 需求质量审查单.md; 需求结构树.md,测试点清单.csv; 测试用例集.xlsx; 边界条件清单.csv; 异常场景清单.csv,N240;N260,回归与自动化编排;质量门禁与专项测试,测试点清单.csv; 测试用例集.xlsx; 边界条件清单.csv; 异常场景清单.csv
N240,240,回归与自动化编排,生成回归/冒烟清单、接口脚本和自动化触发编排建议,测试与质量保障,回归与自动化,冒烟测试清单生成; 回归测试清单生成; 接口测试脚本生成; 自动化测试编排; 自动化测试触发建议,5,测试用例集.xlsx; 开发任务拆分表.csv; 接口设计草案.yaml; Diff风险点评.md,回归测试清单.csv; 冒烟测试清单.csv; 接口测试脚本.zip; 自动化触发建议.md; 自动化测试编排.yaml,N250;N260;N270,测试结果与缺陷管理;质量门禁与专项测试;发布准备与策略,回归测试清单.csv; 冒烟测试清单.csv; 自动化测试编排.yaml
N250,250,测试结果与缺陷管理,对失败结果做归因并产出缺陷分类、严重级和复现信息,测试与质量保障,结果与缺陷,测试失败归因; 缺陷严重级别评估; 缺陷分类; 缺陷复现步骤整理,4,测试执行结果; 自动化触发建议.md; 日志摘录.md; Bug现象记录.md,测试失败归因.md; 缺陷分类表.csv; 缺陷严重级评估.csv; 缺陷复现步骤.md,N260;N300;N360,质量门禁与专项测试;运行监控与日志定位;跨团队对齐与版本节奏,测试失败归因.md; 缺陷分类表.csv; 缺陷严重级评估.csv; 缺陷复现步骤.md
N260,260,质量门禁与专项测试,汇总质量门禁结果并补齐数据一致性、权限、并发、幂等、性能等专项检查,测试与质量保障,质量门禁,上线前检查清单; 幂等测试点生成; 并发测试点生成; 性能测试场景生成; 数据一致性检查项生成; 权限测试点生成; 质量门禁检查,7,测试用例集.xlsx; 回归测试清单.csv; 代码规范检查单.csv; 权限矩阵.csv; 数据流图.md; 幂等设计建议.md; 性能风险分析.md,质量门禁检查单.md; 上线前检查清单.csv; 数据一致性检查项.csv; 权限测试点.csv; 并发测试点.csv; 幂等测试点.csv; 性能测试场景.csv,N270;N280;N370;N390,发布准备与策略;配置环境与发布执行;平台路由与多技能编排;平台治理与模板质量,质量门禁检查单.md; 上线前检查清单.csv
N270,270,发布准备与策略,产出发布说明、发版检查、变更摘要、回滚预案和灰度建议,发布与交付,发布准备,发布说明生成; 发布风险评估; 发版检查清单; 变更摘要生成; 回滚预案生成; 灰度发布建议,6,开发任务拆分表.csv; PR描述.md; 质量门禁检查单.md; Diff风险点评.md,发布说明.md; 发版检查清单.csv; 变更摘要.md; 回滚预案.md; 灰度发布建议.md; 发布风险评估.md,N280;N290;N360,配置环境与发布执行;发布验证与上线验收;跨团队对齐与版本节奏,发布说明.md; 发版检查清单.csv; 发布风险评估.md
N280,280,配置环境与发布执行,检查配置与环境差异并编排发布任务,发布与交付,发布执行,发布任务编排; 环境差异检查; 配置变更检查,3,发布说明.md; 发版检查清单.csv; 环境配置清单,配置变更检查单.csv; 环境差异检查单.csv; 发布任务编排表.csv,N290;N330,发布验证与上线验收;技术与运维文档输出,配置变更检查单.csv; 环境差异检查单.csv; 发布任务编排表.csv
N290,290,发布验证与上线验收,形成发布后验证清单并辅助上线验收,发布与交付,发布验证,上线验收辅助; 发布后验证清单,2,验收标准.md; 发布说明.md; 发布任务编排表.csv,发布后验证清单.csv; 上线验收记录.md,N300,运行监控与日志定位,发布后验证清单.csv; 上线验收记录.md
N300,300,运行监控与日志定位,基于监控、日志、调用链和Bug现象完成异常定位与影响分析,运行与故障处理,运行监控与定位,Bug分析; Trace调用链分析; 告警归因; 异常聚类; 影响范围分析; 日志分析; 根因定位建议; 监控指标解读; 高频报错摘要,9,发布后验证清单.csv; 日志文件; 监控面板截图; trace数据; Diff风险点评.md,监控指标解读.md; 日志分析.md; Trace分析.md; Bug分析.md; 异常聚类表.csv; 高频报错摘要.md; 根因定位建议.md; 影响范围分析.md; 告警归因.md,N310;N320;N330,处置响应与修复评估;故障复盘沉淀;技术与运维文档输出,根因定位建议.md; 影响范围分析.md; 告警归因.md
N310,310,处置响应与修复评估,形成值班处置建议、修复方案建议和热修复风险评估,运行与故障处理,处置响应,修复方案建议; 值班处置建议; 热修复风险评估,3,根因定位建议.md; 影响范围分析.md; 告警归因.md,值班处置建议.md; 修复方案建议.md; 热修复风险评估.md,N320;N270,故障复盘沉淀;发布准备与策略,修复方案建议.md; 热修复风险评估.md
N320,320,故障复盘沉淀,整理故障时间线并输出线上问题复盘,运行与故障处理,复盘沉淀,故障时间线整理; 线上问题复盘,2,日志分析.md; 告警归因.md; 根因定位建议.md; 影响范围分析.md,故障时间线.md; 线上问题复盘.md,N340;N390,协作文档与经验沉淀;平台治理与模板质量,故障时间线.md; 线上问题复盘.md
N330,330,技术与运维文档输出,生成开发、接口、模块、数据、部署和维护文档,文档与知识沉淀,技术与运维文档,开发文档生成; 接口文档生成; 数据字典生成; 模块设计说明生成; 维护手册生成; 部署文档生成,6,技术方案分析.md; 接口设计草案.yaml; 表结构设计草案.sql; 发布任务编排表.csv; 值班处置建议.md,开发文档.md; 接口文档.md; 模块设计说明.md; 数据字典.xlsx; 部署文档.md; 维护手册.md,N340,协作文档与经验沉淀,开发文档.md; 接口文档.md; 模块设计说明.md; 数据字典.xlsx; 维护手册.md
N340,340,协作文档与经验沉淀,将会议、周报、FAQ和最佳实践沉淀成团队可复用知识,文档与知识沉淀,团队协同与经验,FAQ生成; 会议纪要转行动项; 周报生成; 最佳实践总结,4,会议纪要; 任务状态; 开发文档.md; 接口文档.md; 线上问题复盘.md,行动项清单.csv; 周报.md; FAQ.md; 最佳实践.md,N350;N360;N390,协同任务与风险管理;跨团队对齐与版本节奏;平台治理与模板质量,行动项清单.csv; 周报.md; 最佳实践.md
N350,350,协同任务与风险管理,发起任务、同步状态并识别阻塞与风险项,协同与管理,任务与风险管理,任务发起; 任务状态同步; 阻塞项提取; 风险项提取,4,需求交接包.zip; 开发任务拆分表.csv; 需求变更影响分析.md,任务清单.csv; 任务状态同步.md; 阻塞项清单.csv; 风险项清单.csv,N340;N360;N370,协作文档与经验沉淀;跨团队对齐与版本节奏;平台路由与多技能编排,任务清单.csv; 任务状态同步.md; 阻塞项清单.csv; 风险项清单.csv
N360,360,跨团队对齐与版本节奏,输出多角色对齐摘要、版本范围裁剪建议和节奏跟踪,协同与管理,跨团队与版本管理,产品-研发对齐摘要; 测试-研发对齐摘要; 版本范围裁剪建议; 项目节奏跟踪,4,需求优先级建议.csv; 发布风险评估.md; 测试失败归因.md; 任务状态同步.md; 风险项清单.csv,产品研发对齐摘要.md; 测试研发对齐摘要.md; 版本范围裁剪建议.md; 项目节奏跟踪表.csv,N370;N390,平台路由与多技能编排;平台治理与模板质量,产品研发对齐摘要.md; 测试研发对齐摘要.md; 版本范围裁剪建议.md; 项目节奏跟踪表.csv
N370,370,平台路由与多技能编排,根据上下文选择技能、串联流程并推进状态机,平台底座与编排,路由与流程引擎,Skill路由选择; 上下文记忆; 多skill编排; 状态机驱动,4,需求质量审查单.md; 技术方案分析.md; 代码规范检查单.csv; Bug分析.md; 任务清单.csv,Skill路由决策表.csv; 上下文记忆快照.md; 多skill执行计划.yaml; 状态机流转记录.csv,N380;N390,平台门禁与人工协同;平台治理与模板质量,Skill路由决策表.csv; 多skill执行计划.yaml; 状态机流转记录.csv
N380,380,平台门禁与人工协同,执行统一门禁放行、失败兜底和人工确认管理,平台底座与编排,门禁与人工确认,人工确认节点管理; 失败兜底切换; 门禁放行判断,3,多skill执行计划.yaml; 状态机流转记录.csv; 需求质量审查单.md; 质量门禁检查单.md; 发版检查清单.csv,门禁放行记录.csv; 失败兜底切换记录.csv; 人工确认节点清单.csv,N390,平台治理与模板质量,门禁放行记录.csv; 失败兜底切换记录.csv; 人工确认节点清单.csv
N390,390,平台治理与模板质量,沉淀审计、模板和评分规则，形成全局治理闭环,平台底座与编排,治理,审计留痕; 模板管理; 质量评分引擎,3,线上问题复盘.md; 代码规范检查单.csv; 质量门禁检查单.md; 门禁放行记录.csv; 周报.md,审计留痕日志.csv; 模板库索引.csv; 质量评分结果.csv,,,
